,Outputs,λ,q0,q1,q2,q3,q4,q5,q6,5PRes,5PResT,Wall time,Process time,Wall time sim,Process time sim
,"[0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143]",0.0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,3.00000000000000,15.0000000000000,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.142397620847279, 0.143329825327544, 0.143632513613388, 0.143531613358900, 0.143122311311006, 0.142450773854689, 0.141535341687195]",0.1,0.142397620847279,0.143329825327544,0.143632513613388,0.143531613358900,0.143122311311006,0.142450773854689,0.141535341687195,2.99514485727165,14.9757242863583,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.141921182983386, 0.143792753777894, 0.144406022391193, 0.144207231883351, 0.143389341622536, 0.142050066830560, 0.140233400511080]",0.2,0.141921182983386,0.143792753777894,0.144406022391193,0.144207231883351,0.143389341622536,0.142050066830560,0.140233400511080,2.99043459791976,14.9521729895988,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.141428923136509, 0.144246249398668, 0.145177740028267, 0.144883932982756, 0.143658031028038, 0.141654625286371, 0.138950498139391]",0.3,0.141428923136509,0.144246249398668,0.145177740028267,0.144883932982756,0.143658031028038,0.141654625286371,0.138950498139391,2.98586176778382,14.9293088389191,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.140921865232172, 0.144690611434115, 0.145947729709147, 0.145561652922411, 0.143928188950319, 0.141264080851860, 0.137685870899976]",0.4,0.140921865232172,0.144690611434115,0.145947729709147,0.145561652922411,0.143928188950319,0.141264080851860,0.137685870899976,2.98141941508007,14.9070970754004,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.140400968467794, 0.145126119099055, 0.146716047775354, 0.146240329719462, 0.144199636154913, 0.140878091039867, 0.136438807743557]",0.5,0.140400968467794,0.145126119099055,0.146716047775354,0.146240329719462,0.144199636154913,0.140878091039867,0.136438807743557,2.97710105008847,14.8855052504424,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.139867132093513, 0.145553033305652, 0.147482744442737, 0.146919903160353, 0.144472203969599, 0.140496337203731, 0.135208645824416]",0.6,0.139867132093513,0.145553033305652,0.147482744442737,0.146919903160353,0.144472203969599,0.140496337203731,0.135208645824416,2.97290060851573,14.8645030425786,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.139321199795435, 0.145971598220803, 0.148247864437591, 0.147600314801307, 0.144745733562651, 0.140118522677197, 0.133994766505017]",0.7,0.139321199795435,0.145971598220803,0.148247864437591,0.147600314801307,0.144745733562651,0.140118522677197,0.133994766505017,2.96881241816659,14.8440620908330,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.138763963716823, 0.146382042672399, 0.149011447561515, 0.148281507955407, 0.145020075275473, 0.139744371079001, 0.132796591739383]",0.8,0.138763963716823,0.146382042672399,0.149011447561515,0.148281507955407,0.145020075275473,0.139744371079001,0.132796591739383,2.96483116859484,14.8241558429742,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.138196168149525, 0.146784581420614, 0.149773529193736, 0.148963427669217, 0.145295088005518, 0.139373624766120, 0.131613580795269]",0.9,0.138196168149525,0.146784581420614,0.149773529193736,0.148963427669217,0.145295088005518,0.139373624766120,0.131613580795269,2.96095188344003,14.8047594172002,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
